prcp,tmax,tmin,full_date_time,Crenshaw_Bridge,South_Lamar,North_Congress,Longhorn_Dam,event
0.0,46,26,2018-11-14 00:00:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 00:15:00 UTC,0,0,25,0,none
0.0,46,26,2018-11-14 00:30:00 UTC,1,0,2,0,none
0.0,46,26,2018-11-14 00:45:00 UTC,0,0,29,0,none
0.0,46,26,2018-11-14 01:15:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 01:30:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 01:45:00 UTC,0,0,1,0,none
0.0,46,26,2018-11-14 02:00:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 02:15:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 02:30:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 02:45:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 03:15:00 UTC,0,0,2,0,none
0.0,46,26,2018-11-14 03:30:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 03:45:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 04:00:00 UTC,0,1,3,0,none
0.0,46,26,2018-11-14 04:15:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 04:30:00 UTC,0,0,1,0,none
0.0,46,26,2018-11-14 04:45:00 UTC,0,0,2,0,none
0.0,46,26,2018-11-14 05:00:00 UTC,0,1,1,0,none
0.0,46,26,2018-11-14 05:30:00 UTC,38,3,5,0,none
0.0,46,26,2018-11-14 06:15:00 UTC,17,33,66,0,none
0.0,46,26,2018-11-14 19:30:00 UTC,13,3,12,0,none
0.0,46,26,2018-11-14 19:45:00 UTC,6,2,5,0,none
0.0,46,26,2018-11-14 20:00:00 UTC,15,1,3,0,none
0.0,46,26,2018-11-14 20:15:00 UTC,6,1,1,0,none
0.0,46,26,2018-11-14 20:45:00 UTC,5,1,2,0,none
0.0,46,26,2018-11-14 21:15:00 UTC,0,1,4,0,none
0.0,46,26,2018-11-14 21:45:00 UTC,0,1,1,0,none
0.0,46,26,2018-11-14 22:15:00 UTC,1,0,0,0,none
0.0,46,26,2018-11-14 22:30:00 UTC,0,0,8,0,none
0.0,46,26,2018-11-14 22:45:00 UTC,0,2,4,0,none
0.0,46,26,2018-11-14 23:00:00 UTC,1,0,0,0,none
0.0,46,26,2018-11-14 23:45:00 UTC,0,0,0,0,none
0.0,46,26,2018-11-14 01:00:00 UTC,0,1,0,1,none
0.0,46,26,2018-11-14 05:15:00 UTC,6,2,1,1,none
0.0,46,26,2018-11-14 05:45:00 UTC,25,3,20,1,none
0.0,46,26,2018-11-14 08:45:00 UTC,43,15,27,1,none
0.0,46,26,2018-11-14 20:30:00 UTC,1,1,1,1,none
0.0,46,26,2018-11-14 21:00:00 UTC,3,1,3,1,none
0.0,46,26,2018-11-14 21:30:00 UTC,4,0,0,1,none
0.0,46,26,2018-11-14 22:00:00 UTC,0,0,2,1,none
0.0,46,26,2018-11-14 23:15:00 UTC,0,1,0,1,none
0.0,46,26,2018-11-14 23:30:00 UTC,0,0,0,1,none
